id,name,inn,barcode,description,category_ids
48,Continental WinterContact,8025791471,8025791471780,Зимние шины с шипами 205/55 R16,"31,32"
49,Mobil 1 ESP Formula,9136802582,9136802582891,Синтетическое моторное масло 5W-30 4л,"31,33"
50,Castrol GTX Magnatec,1247913683,1247913683902,Полусинтетическое моторное масло 10W-40 4л,"31,33"
51,Bosch S5 Silver Plus,1358024794,1358024794013,Автомобильный аккумулятор 60Ah 540A,"31,34"
52,Varta Blue Dynamic,2469135805,2469135805124,Стартерный аккумулятор 74Ah 680A,"31,34"
53,Turtle Wax Ice Premium,3570246916,3570246916235,Премиальный автошампунь с воском,"31,35"
54,Chemical Guys Honeydew,4681357027,4681357027346,Концентрированный автошампунь Snow Foam,"31,35"
55,Bosch 0 986 494 150,5792468139,5792468139457,Тормозные колодки передние для BMW 3 серии,"31,36"
56,Sachs 3000 951 301,6803579250,6803579250568,Комплект сцепления для Volkswagen Golf,"31,36"
57,L'Oréal Revitalift,7914680361,7914680361679,Антивозрастной крем для лица с ретинолом,"37,38"
58,Maybelline Fit Me,8025791472,8025791472780,Тональная основа для всех типов кожи,"37,38"
59,Chanel No. 5,9136802583,9136802583891,Легендарные французские духи,"37,39"
60,Dior Sauvage,1247913684,1247913684902,Мужская туалетная вода с древесными нотами,"37,39"
61,Solgar Vitamin D3,1358024795,1358024795013,Витамин D3 2200 МЕ в капсулах,"37,40"
62,Now Foods Omega-3,2469135806,2469135806124,Рыбий жир Омега-3 в капсулах,"37,40"
63,Omron M3 Comfort,3570246917,3570246917235,Автоматический тонометр на плечо,"37,41"
64,Braun ThermoScan 7,4681357028,4681357028346,Ушной термометр с технологией Age Precision,"37,41"
65,Oral-B Pro 3000,5792468140,5792468140457,Электрическая зубная щетка с 3D-чисткой,"37,42"
66,Gillette Fusion5,6803579251,6803579251568,Бритвенные кассеты с 5 лезвиями,"37,42"
67,IKEA MALM,7914680362,7914680362679,Кровать двуспальная с 4 ящиками белого цвета,"43,44"
68,IKEA BILLY,8025791473,8025791473780,Книжный шкаф белого цвета 80x28x202 см,"43,44"
69,Philips Hue White,9136802584,9136802584891,Умная LED лампочка с управлением через приложение,"43,45"
70,Xiaomi Mi LED Desk Lamp,1247913685,1247913685902,Настольная лампа с регулировкой яркости и температуры,"43,45"
71,Zara Home Cotton Set,1358024796,1358024796013,Комплект постельного белья из 100% хлопка,"43,46"
72,IKEA DVALA,2469135807,2469135807124,Простыня на резинке из хлопка 160x200 см,"43,46"
73,Tefal Ingenio Emotion,3570246918,3570246918235,Набор посуды со съемными ручками 10 предметов,"43,47"
74,WMF Cromargan,4681357029,4681357029346,Набор столовых приборов из нержавеющей стали,"43,47"
75,Bosch GSR 120-LI,5792468141,5792468141457,Аккумуляторная дрель-шуруповерт 12В,"43,48"
76,Makita HP333DSAE,6803579252,6803579252568,Ударная дрель-шуруповерт с аккумулятором,"43,48"
77,LEGO Creator 31118,7914680363,7914680363679,Конструктор Серферский пляжный домик 3 в 1,"49,50"
78,Barbie Dreamhouse,8025791474,8025791474780,Трехэтажный дом мечты Барби с мебелью,"49,50"
79,Chicco Bravo Trio,9136802585,9136802585891,Коляска-трансформер 3 в 1 с автокреслом,"49,51"
80,Maxi-Cosi Pebble 360,1247913686,1247913686902,Автокресло группы 0+ с поворотной базой,"49,51"
81,H&M Kids Organic Cotton,1358024797,1358024797013,Детский комплект из органического хлопка,"49,52"
82,Zara Baby Collection,2469135808,2469135808124,Боди для новорожденных из мягкого хлопка,"49,52"
83,Pampers Premium Care,3570246919,3570246919235,Подгузники для новорожденных размер 1,"49,53"
84,Huggies Ultra Comfort,4681357030,4681357030346,Подгузники с каналами Extra Absorb размер 3,"49,53"
85,Nestlé NAN Optipro,5792468142,5792468142457,Детская молочная смесь с рождения,"49,54"
86,Gerber Organic,6803579253,6803579253568,Органическое детское пюре из яблок и груш,"49,54"
87,Xiaomi Redmi Note 13,7914680364,7914680364679,Доступный смартфон с камерой 108 МП и AMOLED дисплеем,"1,2"
88,Honor Magic6 Lite,8025791475,8025791475780,Стильный смартфон среднего класса с быстрой зарядкой,"1,2"
89,ASUS VivoBook 15,9136802586,9136802586891,Ноутбук для работы и учебы с процессором AMD Ryzen 5,"1,3"
90,HP Pavilion Gaming,1247913687,1247913687902,Игровой ноутбук с видеокартой GTX 1650 и RGB подсветкой,"1,3"
91,Lenovo Tab P11,1358024798,1358024798013,Android планшет с 2K дисплеем и четырьмя динамиками,"1,4"
92,Amazon Fire HD 10,2469135809,2469135809124,Планшет для развлечений с Alexa и 12-часовой батареей,"1,4"
93,JBL Tune 770NC,3570246920,3570246920235,Беспроводные наушники с активным шумоподавлением,"1,5"
94,Sennheiser HD 450BT,4681357031,4681357031346,Bluetooth наушники с 30-часовой батареей,"1,5"
95,Harman Kardon Onyx Studio 8,5792468143,5792468143457,Премиальная Bluetooth колонка с 360-градусным звуком,"1,6"
96,Bose SoundLink Revolve+,6803579254,6803579254568,Портативная колонка с объемным звучанием,"1,6"
97,Puma RS-X Efekt,7914680365,7914680365679,Ретро кроссовки с яркой цветовой гаммой,"7,8"
98,New Balance 574 Core,8025791476,8025791476780,Классические кроссовки в винтажном стиле,"7,8"
99,Tommy Hilfiger Polo,9136802587,9136802587891,Мужская рубашка поло из хлопка пике,"7,11"
100,Calvin Klein Jeans,1247913688,1247913688902,Женские джинсы скинни с высокой посадкой,"7,10"
